query_id,audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_text,s_c,s_r,cas,top_reference_id,top_reference_group,top_reference_text,top_reference_similarity,nearest_catholic_reference_id,nearest_catholic_reference_text,nearest_catholic_similarity,nearest_catholic_rank,nearest_comparison_reference_id,nearest_comparison_reference_text,nearest_comparison_similarity,nearest_comparison_rank,paraphrase_id,baseline_query_id,contrast_type,review_status
freedom_autonomy_explicit_catholic_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,explicit_catholic,"In Catholic teaching, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.896431252290403,0.42407161712004743,0.47235963517035556,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.923218300861344,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.923218300861344,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.4529255939844591,4,p1,freedom_autonomy_label_free_theological_p1,label_free_to_explicit_catholic,generated_unreviewed
freedom_autonomy_explicit_catholic_p2,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,explicit_catholic,"In Catholic teaching, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8977383371594566,0.404528722315173,0.4932096148442836,freedom_autonomy_c_3,catholic,"Within Catholic thought, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.9510843144555879,freedom_autonomy_c_3,"Within Catholic thought, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.9510843144555879,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.44152564471838324,4,p2,freedom_autonomy_label_free_theological_p2,label_free_to_explicit_catholic,generated_unreviewed
freedom_autonomy_explicit_catholic_p3,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,explicit_catholic,"In Catholic teaching, an account of freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8859221008730923,0.4409001985473677,0.4450219023257246,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.9107914842416762,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.9107914842416762,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.5396139853404287,4,p3,freedom_autonomy_label_free_theological_p3,label_free_to_explicit_catholic,generated_unreviewed
freedom_autonomy_integrative_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,integrative,"Freedom can involve individual self-determination and control over personal decisions, while theological reflection also concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.732819398237451,0.615119956735169,0.11769944150228207,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7638612732765728,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7638612732765728,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.6568481474457935,4,p1,freedom_autonomy_natural_general_p1,general_to_integrative,generated_unreviewed
freedom_autonomy_integrative_p2,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,integrative,"An account of freedom may include individual self-determination and control over personal decisions together with choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7015749683411915,0.6352676989773443,0.06630726936384723,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7599389938914504,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7599389938914504,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.7375067516803698,2,p2,freedom_autonomy_natural_general_p2,general_to_integrative,generated_unreviewed
freedom_autonomy_integrative_p3,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,integrative,"Discussion of freedom can retain both individual self-determination and control over personal decisions and choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.6840689914825323,0.593543686707495,0.09052530477503729,freedom_autonomy_c_2,catholic,"Catholic reflection on freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.6937711534183308,freedom_autonomy_c_2,"Catholic reflection on freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.6937711534183308,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.6407812978609583,4,p3,freedom_autonomy_natural_general_p3,general_to_integrative,generated_unreviewed
autonomy_self_governance_bare_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,bare,autonomy,0.47225525096748555,0.5593856949799928,-0.08713044401250725,autonomy_self_governance_r_3,comparison,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.5796913749103942,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.49856389978760485,4,autonomy_self_governance_r_3,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.5796913749103942,1,p1,,,generated_unreviewed
autonomy_self_governance_natural_general_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_general,Autonomy may be described through independent control over one's choices and life plans.,0.4964742434029404,0.7725457653535787,-0.2760715219506383,autonomy_self_governance_r_3,comparison,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.8303973957761654,autonomy_self_governance_c_3,"Within Catholic thought, autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.5160665262032202,4,autonomy_self_governance_r_3,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.8303973957761654,1,p1,autonomy_self_governance_bare_p1,bare_to_general,generated_unreviewed
autonomy_self_governance_natural_general_p2,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_general,"In a contemporary disciplinary account, autonomy involves independent control over one's choices and life plans.",0.5120134431382771,0.776365236317562,-0.2643517931792849,autonomy_self_governance_r_2,comparison,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.9122162541550181,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.5485747580023447,4,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.9122162541550181,1,p2,autonomy_self_governance_bare_p1,bare_to_general,generated_unreviewed
autonomy_self_governance_natural_general_p3,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_general,A discussion of autonomy focuses on independent control over one's choices and life plans.,0.5030690606868162,0.7709510871463033,-0.2678820264594871,autonomy_self_governance_r_2,comparison,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.8008361290343399,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.50923389531369,4,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.8008361290343399,1,p3,autonomy_self_governance_bare_p1,bare_to_general,generated_unreviewed
autonomy_self_governance_natural_ambiguous_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_ambiguous,"What does autonomy mean when moral, social, and theological perspectives may all be involved?",0.5767353913574292,0.48822045290383964,0.0885149384535896,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.6226941599496458,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.6226941599496458,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.49092102729046133,4,p1,autonomy_self_governance_natural_general_p1,general_to_ambiguous,generated_unreviewed
autonomy_self_governance_natural_ambiguous_p2,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_ambiguous,How should a person understand autonomy when more than one semantic register may be relevant?,0.43353310915279125,0.5012036559301475,-0.06767054677735623,autonomy_self_governance_r_1,comparison,"In the specified comparison register, autonomy concerns independent control over one's choices and life plans.",0.5638111802105628,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.45181534574626897,4,autonomy_self_governance_r_1,"In the specified comparison register, autonomy concerns independent control over one's choices and life plans.",0.5638111802105628,1,p2,autonomy_self_governance_natural_general_p2,general_to_ambiguous,generated_unreviewed
autonomy_self_governance_natural_ambiguous_p3,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_ambiguous,Which dimensions of autonomy matter when its meaning is not fully specified?,0.43246164383091834,0.5088261579067774,-0.07636451407585909,autonomy_self_governance_r_3,comparison,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.5356641382790289,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.44702407878640604,4,autonomy_self_governance_r_3,"Within this comparison field, autonomy is described through independent control over one's choices and life plans.",0.5356641382790289,1,p3,autonomy_self_governance_natural_general_p3,general_to_ambiguous,generated_unreviewed
autonomy_self_governance_label_free_theological_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,label_free_theological,"Autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.802446458722737,0.5220243010384352,0.2804221576843018,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8407498462999777,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8407498462999777,1,autonomy_self_governance_r_1,"In the specified comparison register, autonomy concerns independent control over one's choices and life plans.",0.5484346902113462,4,p1,autonomy_self_governance_natural_general_p1,general_to_label_free_theological,generated_unreviewed
autonomy_self_governance_label_free_theological_p2,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,label_free_theological,"Autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.8203599689926828,0.5204403990454862,0.2999195699471966,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8387877205049883,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8387877205049883,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.5325624219232065,4,p2,autonomy_self_governance_natural_general_p2,general_to_label_free_theological,generated_unreviewed
autonomy_self_governance_label_free_theological_p3,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,label_free_theological,"An account of autonomy emphasizes responsible self-governance within truth, relationship, and the common good.",0.7827799826454783,0.534844215254742,0.2479357673907363,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8295972516163105,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.8295972516163105,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.6178294005394968,4,p3,autonomy_self_governance_natural_general_p3,general_to_label_free_theological,generated_unreviewed
autonomy_self_governance_explicit_catholic_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,explicit_catholic,"In Catholic teaching, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.9319375367636654,0.47408399809117935,0.45785353867248607,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.9482618003479737,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.9482618003479737,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.48386049377038987,4,p1,autonomy_self_governance_label_free_theological_p1,label_free_to_explicit_catholic,generated_unreviewed
autonomy_self_governance_explicit_catholic_p2,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,explicit_catholic,"In Catholic teaching, autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.9299612409302105,0.46770481704662686,0.4622564238835836,autonomy_self_governance_c_3,catholic,"Within Catholic thought, autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.9668449088937037,autonomy_self_governance_c_3,"Within Catholic thought, autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.9668449088937037,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.4793020836161793,4,p2,autonomy_self_governance_label_free_theological_p2,label_free_to_explicit_catholic,generated_unreviewed
autonomy_self_governance_explicit_catholic_p3,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,explicit_catholic,"In Catholic teaching, an account of autonomy emphasizes responsible self-governance within truth, relationship, and the common good.",0.9071938718288287,0.49253831084986716,0.41465556097896156,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.9329361883680299,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.9329361883680299,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.5555640359408459,4,p3,autonomy_self_governance_label_free_theological_p3,label_free_to_explicit_catholic,generated_unreviewed
autonomy_self_governance_integrative_p1,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,integrative,"Autonomy can involve independent control over one's choices and life plans, while theological reflection also concerns responsible self-governance within truth, relationship, and the common good.",0.7491934855003279,0.650427117139046,0.09876636836128194,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.7766855438767485,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.7766855438767485,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.6670528864656574,4,p1,autonomy_self_governance_natural_general_p1,general_to_integrative,generated_unreviewed
autonomy_self_governance_integrative_p2,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,integrative,"An account of autonomy may include independent control over one's choices and life plans together with responsible self-governance within truth, relationship, and the common good.",0.7005703025460477,0.6906616118903662,0.009908690655681451,autonomy_self_governance_r_2,comparison,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.7710158275478323,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.7497549507851984,2,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.7710158275478323,1,p2,autonomy_self_governance_natural_general_p2,general_to_integrative,generated_unreviewed
autonomy_self_governance_integrative_p3,autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,integrative,"Discussion of autonomy can retain both independent control over one's choices and life plans and responsible self-governance within truth, relationship, and the common good.",0.711573483115126,0.6338480191691166,0.07772546394600943,autonomy_self_governance_c_1,catholic,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.7214436312133481,autonomy_self_governance_c_1,"In a Catholic theological account, autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.7214436312133481,1,autonomy_self_governance_r_2,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,0.6703717796937894,4,p3,autonomy_self_governance_natural_general_p3,general_to_integrative,generated_unreviewed
conscience_subjective_preference_bare_p1,conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,bare,conscience,0.4800140753613668,0.486492871711615,-0.006478796350248173,conscience_subjective_preference_r_1,comparison,"In the specified comparison register, conscience concerns private preference and personal sincerity as sufficient moral authority.",0.5231315850999638,conscience_subjective_preference_c_1,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.5223086111799431,2,conscience_subjective_preference_r_1,"In the specified comparison register, conscience concerns private preference and personal sincerity as sufficient moral authority.",0.5231315850999638,1,p1,,,generated_unreviewed
conscience_subjective_preference_natural_general_p1,conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,natural_general,Conscience may be described through private preference and personal sincerity as sufficient moral authority.,0.4796631561600615,0.7991427992242701,-0.3194796430642086,conscience_subjective_preference_r_3,comparison,"Within this comparison field, conscience is described through private preference and personal sincerity as sufficient moral authority.",0.8334401146989056,conscience_subjective_preference_c_1,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.5056457847537191,4,conscience_subjective_preference_r_3,"Within this comparison field, conscience is described through private preference and personal sincerity as sufficient moral authority.",0.8334401146989056,1,p1,conscience_subjective_preference_bare_p1,bare_to_general,generated_unreviewed
conscience_subjective_preference_natural_general_p2,conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,natural_general,"In a contemporary disciplinary account, conscience involves private preference and personal sincerity as sufficient moral authority.",0.5090856593823199,0.8097250958008569,-0.3006394364185371,conscience_subjective_preference_r_2,comparison,A disciplinary account of conscience emphasizes private preference and personal sincerity as sufficient moral authority.,0.9343012891423524,conscience_subjective_preference_c_1,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.5629244788957967,4,conscience_subjective_preference_r_2,A disciplinary account of conscience emphasizes private preference and personal sincerity as sufficient moral authority.,0.9343012891423524,1,p2,conscience_subjective_preference_bare_p1,bare_to_general,generated_unreviewed
conscience_subjective_preference_natural_general_p3,conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,natural_general,A discussion of conscience focuses on private preference and personal sincerity as sufficient moral authority.,0.47450791902394335,0.7936976286503997,-0.3191897096264564,conscience_subjective_preference_r_2,comparison,A disciplinary account of conscience emphasizes private preference and personal sincerity as sufficient moral authority.,0.8455044285367962,conscience_subjective_preference_c_1,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.48965486756888604,4,conscience_subjective_preference_r_2,A disciplinary account of conscience emphasizes private preference and personal sincerity as sufficient moral authority.,0.8455044285367962,1,p3,conscience_subjective_preference_bare_p1,bare_to_general,generated_unreviewed
conscience_subjective_preference_natural_ambiguous_p1,conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,natural_ambiguous,"What does conscience mean when moral, social, and theological perspectives may all be involved?",0.516369426799792,0.4842929650873263,0.032076461712465754,conscience_subjective_preference_c_1,catholic,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.5758911092399401,conscience_subjective_preference_c_1,"In a Catholic theological account, conscience concerns a judgment of reason seeking moral truth and requiring formation.",0.5758911092399401,1,conscience_subjective_preference_r_3,"Within this comparison field, conscience is described through private preference and personal sincerity as sufficient moral authority.",0.500246478680489,3,p1,conscience_subjective_preference_natural_general_p1,general_to_ambiguous,generated_unreviewed
